scientific_name,backup_obs_count,backup_unique_users,backup_unique_days,lat_std,lon_std,backup_research_prop,iconic_taxon_name,common_name,present_in_main
Ribes speciosum,25,21,22,0.0017830173585557112,0.001203655642270927,0.76,Plantae,Fuchsiaflower Gooseberry,1
Ricinus communis,1,1,1,0.0,0.0,1.0,Plantae,castor bean,0
Roanokenses,1,1,1,0.0,0.0,0.0,Fungi,Amanita sect. Roanokenses,0
Robinia,1,1,1,0.0,0.0,0.0,Plantae,Locust Trees,0
Robinia hispida,1,1,1,0.0,0.0,1.0,Plantae,Bristly locust,0
Rubroboletus,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Rubroboletus satanas,1,1,1,0.0,0.0,0.0,Fungi,Devil's Bolete,0
Rumex,5,4,5,0.001457335308377131,0.0015982012922919446,0.0,Plantae,docks and sorrels,1
Rumex crispus,2,2,2,0.0026167006161278024,0.0004919789475316618,1.0,Plantae,curled dock,0
Russula,7,7,7,0.001863067300349113,0.0013773483996918144,0.0,Fungi,brittlegills,1
Russula bicolor,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Russula brevipes,1,1,1,0.0,0.0,0.0,Fungi,Short-stemmed Russula,1
Russula californiensis,1,1,1,0.0,0.0,1.0,Fungi,Unknown,1
Russula cerolens,1,1,1,0.0,0.0,0.0,Fungi,Pocket-stalked russula,0
Russula cremoricolor,11,8,9,0.0022126849053337528,0.001990806817674148,0.2727272727272727,Fungi,Winter Russula,1
Russula maculata,1,1,1,0.0,0.0,0.0,Fungi,Unknown,0
Sairocarpus nuttallianus,1,1,1,0.0,0.0,1.0,Plantae,Nuttall's Snapdragon,1
Sairocarpus pusillus,2,2,2,0.00031741082955389065,1.7309974008780327e-05,1.0,Plantae,lesser snapdragon,1
Salix,5,5,5,0.0014187101844176948,0.0023456351769251846,0.0,Plantae,Willows,1
Salix exigua,4,4,4,3.525100066980519e-05,7.640052156694567e-05,0.75,Plantae,Narrowleaf Willow,0
Salix gooddingii,2,2,2,2.1831426893237748e-05,5.50348985925238e-05,0.0,Plantae,Goodding's willow,0
Salix laevigata,3,3,3,0.0006606510751370224,0.000478102341486442,0.6666666666666666,Plantae,red willow,1
Salix lasiandra,2,2,2,0.002329099782126469,0.0002821290296047176,0.0,Plantae,Pacific Willow,0
Salix lasiolepis,5,5,5,0.001276488302399923,0.00027223068705116004,0.4,Plantae,Arroyo Willow,0
Salsola,1,1,1,0.0,0.0,0.0,Plantae,Russian Thistles,0
Salticidae,1,1,1,0.0,0.0,0.0,Arachnida,Jumping Spiders,0
Salvia,2,2,2,0.003233235433219461,0.0003733460872163112,0.0,Plantae,Sages,1
Salvia apiana,14,12,14,0.0017104010246207888,0.001546592968268428,0.9285714285714286,Plantae,white sage,1
Salvia columbariae,5,3,5,0.0005665620000984544,0.0011102237162207561,1.0,Plantae,Chia,1
Salvia mellifera,33,25,22,0.0016748719718632516,0.0013763694522576156,0.9090909090909091,Plantae,black sage,1
Sambucus cerulea,11,8,10,0.0018997319557233975,0.0008183424045208262,1.0,Plantae,blue elder,0
Sarcophaga,1,1,1,0.0,0.0,0.0,Insecta,Common Flesh Flies,0
Satyrium sylvinus,2,2,2,0.0008937436562788329,8.053161348910762e-05,1.0,Insecta,Sylvan Hairstreak,0
Sayapis,2,1,2,0.001587191680043493,0.002158430014541285,0.0,Insecta,Unknown,0
Sayornis nigricans,12,7,11,0.0010614076983770258,0.0009086947542333804,1.0,Aves,Black Phoebe,1
Sayornis saya,2,2,2,0.0012765136384117004,0.00034290231186237286,1.0,Aves,Say's Phoebe,1
Sceloporus occidentalis,13,12,13,0.0024502134340223572,0.0009348407248571044,1.0,Reptilia,Western Fence Lizard,1
Sceloporus occidentalis longipes,3,2,3,0.000495159327219239,0.001424931914411494,1.0,Reptilia,Great Basin Fence Lizard,0
Schistocerca nitens,3,3,3,0.0008426399521818752,0.0021841925415949383,1.0,Insecta,Gray Bird Grasshopper,0
Schizophyllum,1,1,1,0.0,0.0,0.0,Fungi,Unknown,1
Schizophyllum commune,5,4,4,0.0016045343301428962,0.0022345228137864107,1.0,Fungi,splitgill mushroom,1
Schoenoplectus,1,1,1,0.0,0.0,0.0,Plantae,Schoenoplectus Bulrushes,0
Scirpus,1,1,1,0.0,0.0,0.0,Plantae,Scirpus Bulrushes,0
Scirpus microcarpus,2,2,2,4.9664846856322946e-05,5.347141478614246e-05,0.5,Plantae,Panicled Bulrush,0
Scleroderma citrinum,1,1,1,0.0,0.0,1.0,Fungi,common earthball,0
Scolopendra polymorpha,1,1,1,0.0,0.0,1.0,Animalia,Common Desert Centipede,0
